rhor,xne,xni,xte,xti,vpold,vtord,xer,,,,,,,,,,,,,,,,,,,,,,,,,
0.00E+00,9.17548E+19,6.57998E+19,1877.4444,2416.8516,0,202618,4230.823,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-03,9.17E+19,6.58E+19,1876.7302,2.42E+03,-7.01E-04,2.03E+05,4.48E+03,,,,,,,,,,,,,,,,,,,,,,,,,
1.00E-02,9.16E+19,6.57E+19,1876.0077,2.41E+03,-5.61E-03,2.02E+05,4.81E+03,,,,,,,,,,,,,,,,,,,,,,,,,
1.50E-02,9.15E+19,6.57E+19,1875.2684,2.41E+03,-1.89E-02,2.02E+05,5.19E+03,,,,,,,,,,,,,,,,,,,,,,,,,
2.00E-02,9.14E+19,6.57E+19,1874.5041,2.41E+03,-4.49E-02,2.02E+05,5.61E+03,,,,,,,,,,,,,,,,,,,,,,,,,
2.50E-02,9.14E+19,6.56E+19,1873.7064,2.41E+03,-8.77E-02,2.02E+05,6.06E+03,,,,,,,,,,,,,,,,,,,,,,,,,
3.00E-02,9.12E+19,6.56E+19,1872.8669,2.41E+03,-0.15150138,2.02E+05,6.53E+03,,,,,,,,,,,,,,,,,,,,,,,,,
3.50E-02,9.11E+19,6.55E+19,1871.9772,2.41E+03,-0.24057859,2.02E+05,7.01E+03,,,,,,,,,,,,,,,,,,,,,,,,,
4.00E-02,9.10E+19,6.55E+19,1871.029,2.40E+03,-0.35911437,2.02E+05,7.52E+03,,,,,,,,,,,,,,,,,,,,,,,,,
4.50E-02,9.08E+19,6.54E+19,1870.014,2.40E+03,-0.51131724,2.01E+05,8.03E+03,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-02,9.07E+19,6.53E+19,1868.9238,2.40E+03,-0.70139533,2.01E+05,8.56E+03,,,,,,,,,,,,,,,,,,,,,,,,,
5.50E-02,9.05E+19,6.52E+19,1867.75,2.39E+03,-0.93355713,2.01E+05,9.10E+03,,,,,,,,,,,,,,,,,,,,,,,,,
6.00E-02,9.03E+19,6.51E+19,1866.4843,2.39E+03,-1.2119705,2.01E+05,9.65E+03,,,,,,,,,,,,,,,,,,,,,,,,,
6.50E-02,9.00E+19,6.50E+19,1865.1183,2.39E+03,-1.5409106,2.01E+05,1.02E+04,,,,,,,,,,,,,,,,,,,,,,,,,
7.00E-02,8.98E+19,6.49E+19,1863.6436,2.38E+03,-1.9245698,2.00E+05,1.08E+04,,,,,,,,,,,,,,,,,,,,,,,,,
7.50E-02,8.95E+19,6.48E+19,1862.0519,2.38E+03,-2.3671463,2.00E+05,1.14E+04,,,,,,,,,,,,,,,,,,,,,,,,,
8.00E-02,8.92E+19,6.46E+19,1860.3349,2.37E+03,-2.8728476,2.00E+05,1.20E+04,,,,,,,,,,,,,,,,,,,,,,,,,
8.50E-02,8.89E+19,6.45E+19,1858.4842,2.37E+03,-3.4458837,1.99E+05,1.26E+04,,,,,,,,,,,,,,,,,,,,,,,,,
9.00E-02,8.85E+19,6.43E+19,1856.4914,2.36E+03,-4.0904621,1.99E+05,1.32E+04,,,,,,,,,,,,,,,,,,,,,,,,,
9.50E-02,8.82E+19,6.42E+19,1854.3482,2.36E+03,-4.8107902,1.99E+05,1.39E+04,,,,,,,,,,,,,,,,,,,,,,,,,
1.00E-01,8.79E+19,6.40E+19,1852.0472,2.35E+03,-5.6110785,1.98E+05,1.47E+04,,,,,,,,,,,,,,,,,,,,,,,,,
1.05E-01,8.75E+19,6.38E+19,1849.5878,2.34E+03,-6.4955329,1.98E+05,1.55E+04,,,,,,,,,,,,,,,,,,,,,,,,,
1.10E-01,8.71E+19,6.36E+19,1846.9729,2.34E+03,-7.4683645,1.97E+05,1.63E+04,,,,,,,,,,,,,,,,,,,,,,,,,
1.15E-01,8.68E+19,6.34E+19,1844.205,2.33E+03,-8.5337803,1.97E+05,1.71E+04,,,,,,,,,,,,,,,,,,,,,,,,,
1.20E-01,8.64E+19,6.32E+19,1841.2869,2.32E+03,-9.6959148,1.96E+05,1.79E+04,,,,,,,,,,,,,,,,,,,,,,,,,
1.25E-01,8.60E+19,6.30E+19,1838.2212,2.31E+03,-10.959091,1.96E+05,1.86E+04,,,,,,,,,,,,,,,,,,,,,,,,,
1.30E-01,8.55706E+19,6.27705E+19,1835.0107,2307.0361,-12.327722,195356.78,19268.621,,,,,,,,,,,,,,,,,,,,,,,,,
1.35E-01,8.51526E+19,6.25369E+19,1831.6581,2299.0251,-13.805338,194831.08,19886.429,,,,,,,,,,,,,,,,,,,,,,,,,
1.40E-01,8.47251E+19,6.22933E+19,1828.1659,2290.756,-15.396794,194285.37,20474.07,,,,,,,,,,,,,,,,,,,,,,,,,
1.45E-01,8.42939E+19,6.20453E+19,1824.537,2282.2976,-17.106329,193720.42,21081.436,,,,,,,,,,,,,,,,,,,,,,,,,
1.50E-01,8.38556E+19,6.17895E+19,1820.774,2273.8024,-18.937423,193137.02,21695.011,,,,,,,,,,,,,,,,,,,,,,,,,
1.55E-01,8.34085E+19,6.15235E+19,1816.8796,2265.0481,-20.895007,192535.96,22318.842,,,,,,,,,,,,,,,,,,,,,,,,,
1.60E-01,8.29538E+19,6.12476E+19,1813.0698,2256.0479,-22.98332,191918.03,22944.613,,,,,,,,,,,,,,,,,,,,,,,,,
1.65E-01,8.24934E+19,6.09631E+19,1809.1401,2246.8147,-25.205769,191292.13,23558.735,,,,,,,,,,,,,,,,,,,,,,,,,
1.70E-01,8.20302E+19,6.06743E+19,1805.0685,2237.3618,-27.567355,190661.18,24154.568,,,,,,,,,,,,,,,,,,,,,,,,,
1.75E-01,8.15604E+19,6.03755E+19,1800.8575,2227.763,-30.072322,190012.92,24729.822,,,,,,,,,,,,,,,,,,,,,,,,,
1.80E-01,8.10849E+19,6.00669E+19,1796.5096,2218.091,-32.723899,189348.08,25290.863,,,,,,,,,,,,,,,,,,,,,,,,,
1.85E-01,8.06046E+19,5.97489E+19,1792.0276,2208.2039,-35.52731,188667.4,25838.388,,,,,,,,,,,,,,,,,,,,,,,,,
1.90E-01,8.0123E+19,5.94278E+19,1787.4138,2198.1127,-38.486483,187971.59,26377.483,,,,,,,,,,,,,,,,,,,,,,,,,
1.95E-01,7.96368E+19,5.90972E+19,1782.6709,2187.8282,-41.60557,187261.39,26909.283,,,,,,,,,,,,,,,,,,,,,,,,,
2.00E-01,7.91468E+19,5.87575E+19,1777.8015,2177.3615,-44.888797,186549.25,27427.141,,,,,,,,,,,,,,,,,,,,,,,,,
2.05E-01,7.8654E+19,5.8409E+19,1772.9336,2166.8774,-48.340346,185825.18,27933.664,,,,,,,,,,,,,,,,,,,,,,,,,
2.10E-01,7.81602E+19,5.80576E+19,1767.9868,2156.2068,-51.964441,185086.73,28428.854,,,,,,,,,,,,,,,,,,,,,,,,,
2.15E-01,7.76639E+19,5.76975E+19,1762.9077,2145.3555,-55.765295,184334.59,28912.264,,,,,,,,,,,,,,,,,,,,,,,,,
2.20E-01,7.71656E+19,5.73291E+19,1757.6991,2134.3294,-59.747102,183569.46,29383.415,,,,,,,,,,,,,,,,,,,,,,,,,
2.25E-01,7.66663E+19,5.6953E+19,1752.3635,2123.161,-63.914073,182792.03,29843.723,,,,,,,,,,,,,,,,,,,,,,,,,
2.30E-01,7.61666E+19,5.65736E+19,1746.9035,2111.9285,-68.270437,182012.99,30287.489,,,,,,,,,,,,,,,,,,,,,,,,,
2.35E-01,7.56661E+19,5.61861E+19,1741.3217,2100.5253,-72.82037,181222.45,30719.637,,,,,,,,,,,,,,,,,,,,,,,,,
2.40E-01,7.51654E+19,5.57909E+19,1735.6207,2088.9563,-77.567969,180419.89,31140.65,,,,,,,,,,,,,,,,,,,,,,,,,
2.45E-01,7.46652E+19,5.53896E+19,1729.9447,2077.2261,-82.517638,179605.97,31550.407,,,,,,,,,,,,,,,,,,,,,,,,,
2.50E-01,7.41653E+19,5.4984E+19,1724.1438,2065.4185,-87.673573,178781.37,31948.305,,,,,,,,,,,,,,,,,,,,,,,,,
2.55E-01,7.36662E+19,5.45711E+19,1718.2207,2053.4843,-93.039926,177951.2,32331.791,,,,,,,,,,,,,,,,,,,,,,,,,
2.60E-01,7.31687E+19,5.41512E+19,1712.178,2041.3928,-98.620906,177114.98,32701.424,,,,,,,,,,,,,,,,,,,,,,,,,
2.65E-01,7.26724E+19,5.37273E+19,1706.0185,2029.1489,-104.42072,176268.54,33059.437,,,,,,,,,,,,,,,,,,,,,,,,,
2.70E-01,7.21777E+19,5.32984E+19,1699.7446,2016.8069,-110.44362,175412.54,33405.3,,,,,,,,,,,,,,,,,,,,,,,,,
2.75E-01,7.16854E+19,5.2863E+19,1693.3952,2004.3643,-116.69373,174547.63,33739.613,,,,,,,,,,,,,,,,,,,,,,,,,
2.80E-01,7.11961E+19,5.24214E+19,1687.015,1991.7738,-123.1753,173677.21,34061.092,,,,,,,,,,,,,,,,,,,,,,,,,
2.85E-01,7.07083E+19,5.1977E+19,1680.5192,1979.0405,-129.89254,172802.32,34368.626,,,,,,,,,,,,,,,,,,,,,,,,,
2.90E-01,7.02237E+19,5.15268E+19,1673.9106,1966.2184,-136.84965,171919.08,34664.192,,,,,,,,,,,,,,,,,,,,,,,,,
2.95E-01,6.9743E+19,5.10707E+19,1667.192,1953.289,-144.05086,171028.13,34946.636,,,,,,,,,,,,,,,,,,,,,,,,,
3.00E-01,6.92661E+19,5.06096E+19,1660.3658,1940.2262,-151.50024,170130.11,35217.323,,,,,,,,,,,,,,,,,,,,,,,,,
3.05E-01,6.87915E+19,5.01455E+19,1653.4656,1927.0394,-159.20213,169228.66,35475.044,,,,,,,,,,,,,,,,,,,,,,,,,
3.10E-01,6.83215E+19,4.96759E+19,1646.5291,1913.7939,-167.1598,168322.39,35720.76,,,,,,,,,,,,,,,,,,,,,,,,,
3.15E-01,6.78567E+19,4.9201E+19,1639.4853,1900.436,-175.38046,167409.71,35955.139,,,,,,,,,,,,,,,,,,,,,,,,,
3.20E-01,6.73958E+19,4.8722E+19,1632.3369,1886.9721,-183.86521,166491.24,36174.313,,,,,,,,,,,,,,,,,,,,,,,,,
3.25E-01,6.69387E+19,4.82388E+19,1625.0867,1873.436,-192.6182,165568.01,36381.081,,,,,,,,,,,,,,,,,,,,,,,,,
3.30E-01,6.64874E+19,4.77518E+19,1617.7375,1859.8379,-201.64698,164643.07,36556.831,,,,,,,,,,,,,,,,,,,,,,,,,
3.35E-01,6.60424E+19,4.72625E+19,1610.3602,1846.1549,-210.95236,163713.1,36704.792,,,,,,,,,,,,,,,,,,,,,,,,,
3.40E-01,6.56011E+19,4.6772E+19,1602.8997,1832.4005,-220.53856,162778.73,36840.237,,,,,,,,,,,,,,,,,,,,,,,,,
3.45E-01,6.51651E+19,4.62802E+19,1595.3412,1818.6167,-230.41322,161840.57,36964.027,,,,,,,,,,,,,,,,,,,,,,,,,
3.50E-01,6.4736E+19,4.57888E+19,1587.6876,1804.7698,-240.5771,160900.77,37077.316,,,,,,,,,,,,,,,,,,,,,,,,,
3.55E-01,6.43141E+19,4.52997E+19,1579.9416,1790.873,-251.03438,159958.15,37179.55,,,,,,,,,,,,,,,,,,,,,,,,,
3.60E-01,6.38959E+19,4.48125E+19,1572.1576,1776.9511,-261.79273,159012.5,37270.493,,,,,,,,,,,,,,,,,,,,,,,,,
3.65E-01,6.34841E+19,4.43281E+19,1564.3035,1762.9961,-272.85103,158064.46,37350.319,,,,,,,,,,,,,,,,,,,,,,,,,
3.70E-01,6.30801E+19,4.38488E+19,1556.3588,1749.0133,-284.22222,157115.21,37420.322,,,,,,,,,,,,,,,,,,,,,,,,,
3.75E-01,6.26843E+19,4.33764E+19,1548.3266,1735.0184,-295.89736,156164.61,37480.755,,,,,,,,,,,,,,,,,,,,,,,,,
3.80E-01,6.22922E+19,4.29078E+19,1540.2097,1721.012,-307.89377,155212.42,37530.418,,,,,,,,,,,,,,,,,,,,,,,,,
3.85E-01,6.19072E+19,4.24457E+19,1532.0677,1707.0006,-320.20684,154259.28,37569.466,,,,,,,,,,,,,,,,,,,,,,,,,
3.90E-01,6.15307E+19,4.19928E+19,1523.847,1692.9945,-332.84522,153305.85,37590.897,,,,,,,,,,,,,,,,,,,,,,,,,
3.95E-01,6.1163E+19,4.15507E+19,1515.5439,1678.9942,-345.81328,152352.07,37578.358,,,,,,,,,,,,,,,,,,,,,,,,,
4.00E-01,6.08011E+19,4.11164E+19,1507.1616,1665.0125,-359.11037,151398.18,37556.583,,,,,,,,,,,,,,,,,,,,,,,,,
4.05E-01,6.04447E+19,4.06893E+19,1498.7253,1651.0548,-372.75022,150444.79,37524.563,,,,,,,,,,,,,,,,,,,,,,,,,
4.10E-01,6.00974E+19,4.02747E+19,1490.245,1637.1196,-386.72278,149492.17,37483.845,,,,,,,,,,,,,,,,,,,,,,,,,
4.15E-01,5.97594E+19,3.98742E+19,1481.6886,1623.2262,-401.04659,148540.1,37436.634,,,,,,,,,,,,,,,,,,,,,,,,,
4.20E-01,5.94311E+19,3.94892E+19,1473.0589,1609.3757,-415.71574,147589.41,37370.022,,,,,,,,,,,,,,,,,,,,,,,,,
4.25E-01,5.91055E+19,3.91084E+19,1464.364,1595.5645,-430.7387,146640.69,37293.163,,,,,,,,,,,,,,,,,,,,,,,,,
4.30E-01,5.87885E+19,3.87417E+19,1455.643,1581.8193,-446.12236,145693.68,37208.889,,,,,,,,,,,,,,,,,,,,,,,,,
4.35E-01,5.84812E+19,3.83918E+19,1446.8522,1568.1322,-461.87092,144748.27,37118.706,,,,,,,,,,,,,,,,,,,,,,,,,
4.40E-01,5.81838E+19,3.80602E+19,1437.9949,1554.5051,-477.97681,143805.72,37014.427,,,,,,,,,,,,,,,,,,,,,,,,,
4.45E-01,5.78967E+19,3.77484E+19,1429.0741,1540.9679,-494.45593,142866.64,36898.705,,,,,,,,,,,,,,,,,,,,,,,,,
4.50E-01,5.76122E+19,3.74439E+19,1420.1324,1527.5018,-511.31258,141930,36778.519,,,,,,,,,,,,,,,,,,,,,,,,,
4.55E-01,5.73356E+19,3.71556E+19,1411.128,1514.1182,-528.55121,140996.2,36652.13,,,,,,,,,,,,,,,,,,,,,,,,,
4.60E-01,5.7069E+19,3.68869E+19,1402.0641,1500.8487,-546.1635,140066.8,36515.11,,,,,,,,,,,,,,,,,,,,,,,,,
4.65E-01,5.68126E+19,3.66382E+19,1392.9477,1487.6609,-564.16597,139142.38,36368.225,,,,,,,,,,,,,,,,,,,,,,,,,
4.70E-01,5.65666E+19,3.64099E+19,1383.807,1474.5807,-582.56296,138220.61,36221.455,,,,,,,,,,,,,,,,,,,,,,,,,
4.75E-01,5.63313E+19,3.62024E+19,1374.6113,1461.6387,-601.35878,137303.47,36073.864,,,,,,,,,,,,,,,,,,,,,,,,,
4.80E-01,5.6098E+19,3.6005E+19,1365.3637,1448.7864,-620.54424,136392.24,35936.703,,,,,,,,,,,,,,,,,,,,,,,,,
4.85E-01,5.5871E+19,3.58243E+19,1356.0792,1436.0693,-640.13727,135487.51,35791.656,,,,,,,,,,,,,,,,,,,,,,,,,
4.90E-01,5.5654E+19,3.56636E+19,1346.7633,1423.5143,-660.13944,134585.23,35648.949,,,,,,,,,,,,,,,,,,,,,,,,,
4.95E-01,5.54469E+19,3.5521E+19,1337.4006,1411.0581,-680.55485,133689.75,35497.772,,,,,,,,,,,,,,,,,,,,,,,,,
5.00E-01,5.52501E+19,3.5395E+19,1327.9943,1398.7655,-701.38772,132801.7,35340.118,,,,,,,,,,,,,,,,,,,,,,,,,
